Change Component Comment : Designator=C10 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C11 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C12 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C14 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C18 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C19 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C20 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C21 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C22 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C17 Old Comment=1PF, 50V, 0603 New Comment=CAP 0603 1PF 50V 0.05PF MLO
Change Component Comment : Designator=C2 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C5 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C3 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C6 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C1 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C13 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C15 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C16 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change component parameters: Designator = "FB1" ("FB1"); Footprint = "0805"; UniqueID = "\GDJTUDWI\XTRDIKFH" ("\GDJTUDWI\XTRDIKFH")
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "47K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R29" ("R29"); Footprint = "0603_RES"; UniqueID = "\TKVAJXIT\AKYLFZAI" ("\TKVAJXIT\AKYLFZAI")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 200 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 200 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200"; VariantName = "[No Variations]"
Change component parameters: Designator = "R30" ("R30"); Footprint = "0603_RES"; UniqueID = "\TKVAJXIT\LDEBCSYJ" ("\TKVAJXIT\LDEBCSYJ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 620 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 620 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "620"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "620"; VariantName = "[No Variations]"
Change component parameters: Designator = "R32" ("R32"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\CSZJTCKY" ("\MBNRXBXE\OQISKPEC\CSZJTCKY")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 62.6K 0603  0.05%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 62.6K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "62.6K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "62.6K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R33" ("R33"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\EQRQDGGT" ("\MBNRXBXE\OQISKPEC\EQRQDGGT")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 100K 0603  0.1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 100K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R34" ("R34"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\MZVBQTVT" ("\MBNRXBXE\OQISKPEC\MZVBQTVT")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 100K 0603  0.1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 100K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R35" ("R35"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\ACJCPBGE" ("\MBNRXBXE\OQISKPEC\ACJCPBGE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 62.6K 0603  0.05%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 62.6K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "62.6K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "62.6K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R36" ("R36"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\MNUAEBPS" ("\MBNRXBXE\OQISKPEC\MNUAEBPS")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 100K 0603  0.1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 100K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R37" ("R37"); Footprint = "0603_RES"; UniqueID = "\MBNRXBXE\OQISKPEC\FKQREGYO" ("\MBNRXBXE\OQISKPEC\FKQREGYO")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 100K 0603  0.1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 100K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
